GSE,SRR,URL_R1,URL_R2,Species,Tissue,Chromium_version,Compressed,Read_length
GSE134339,SRR9693127,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR969/007/SRR9693127/SRR9693127_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR969/007/SRR9693127/SRR9693127_2.fastq.gz,Mouse,PD0_scRNA-seq,v2,0,150
GSE134339,SRR9693128,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR969/008/SRR9693128/SRR9693128_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR969/008/SRR9693128/SRR9693128_2.fastq.gz,Mouse,PD3_scRNA-seq,v2,0,150
GSE158702,SRR12735739,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/039/SRR12735739/SRR12735739_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/039/SRR12735739/SRR12735739_2.fastq.gz,Human,Fetal epithelium sample pool 4 - Gene Expression,v3,0,150
GSE158702,SRR12735753,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/053/SRR12735753/SRR12735753_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/053/SRR12735753/SRR12735753_2.fastq.gz,Human,Fetal stromal and epithelium sample pool 5 - Gene Expression,v3,0,150
GSE158702,SRR12735754,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/054/SRR12735754/SRR12735754_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/054/SRR12735754/SRR12735754_2.fastq.gz,Human,Fetal stromal and epithelium sample pool 5 - Gene Expression,v3,0,150
GSE158702,SRR12735755,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/055/SRR12735755/SRR12735755_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/055/SRR12735755/SRR12735755_2.fastq.gz,Human,Fetal stromal and epithelium sample pool 5 - Gene Expression,v3,0,150
GSE158702,SRR12735756,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/056/SRR12735756/SRR12735756_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/056/SRR12735756/SRR12735756_2.fastq.gz,Human,Fetal stromal and epithelium sample pool 5 - Gene Expression,v3,0,150
GSE158702,SRR12735757,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/057/SRR12735757/SRR12735757_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/057/SRR12735757/SRR12735757_2.fastq.gz,Human,Fetal stromal and epithelium sample pool 6 - Gene Expression,v3,0,150
GSE158702,SRR12735758,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/058/SRR12735758/SRR12735758_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/058/SRR12735758/SRR12735758_2.fastq.gz,Human,Fetal stromal and epithelium sample pool 6 - Gene Expression,v3,0,150
GSE158702,SRR12735759,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/059/SRR12735759/SRR12735759_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/059/SRR12735759/SRR12735759_2.fastq.gz,Human,Fetal stromal and epithelium sample pool 6 - Gene Expression,v3,0,150
GSE158702,SRR12735760,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/060/SRR12735760/SRR12735760_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/060/SRR12735760/SRR12735760_2.fastq.gz,Human,Fetal stromal and epithelium sample pool 6 - Gene Expression,v3,0,150
GSE158702,SRR12735761,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/061/SRR12735761/SRR12735761_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/061/SRR12735761/SRR12735761_2.fastq.gz,Human,Fetal epithelium sample pool 1 - Hashing Antibody Library,v3,0,150
