GSE,SRR,URL_R1,URL_R2,Species,Tissue,Chromium_version,Compressed,Read_length
GSE108416,SRR6410934,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR641/004/SRR6410934/SRR6410934_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR641/004/SRR6410934/SRR6410934_2.fastq.gz,Mouse,Brain,v2,0,101
GSE108416,SRR6410935,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR641/005/SRR6410935/SRR6410935_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR641/005/SRR6410935/SRR6410935_2.fastq.gz,Mouse,Brain,v2,0,101
GSE111912,SRR6844906,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR684/006/SRR6844906/SRR6844906_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR684/006/SRR6844906/SRR6844906_2.fastq.gz,Human,Culture,v2,0,151
GSE111912,SRR6844907,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR684/007/SRR6844907/SRR6844907_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR684/007/SRR6844907/SRR6844907_2.fastq.gz,Human,Culture,v2,0,151
GSE122357,SRR8039659,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR803/009/SRR8039659/SRR8039659_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR803/009/SRR8039659/SRR8039659_2.fastq.gz,Mouse,Brain,v2,0,100
GSE123844,SRR8318953,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR831/003/SRR8318953/SRR8318953.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR831/003/SRR8318953/SRR8318953.fastq.gz,Human,alpha-Cells,v2,1,100
GSE123844,SRR8318954,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR831/004/SRR8318954/SRR8318954.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR831/004/SRR8318954/SRR8318954.fastq.gz,Human,alpha-Cells,v2,1,100
GSE123844,SRR8318955,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR831/005/SRR8318955/SRR8318955.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR831/005/SRR8318955/SRR8318955.fastq.gz,Human,alpha-Cells,v2,1,100
GSE123844,SRR8318956,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR831/006/SRR8318956/SRR8318956.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR831/006/SRR8318956/SRR8318956.fastq.gz,Human,alpha-Cells,v2,1,100
GSE128889,SRR8906271,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR890/001/SRR8906271/SRR8906271.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR890/001/SRR8906271/SRR8906271.fastq.gz,Mouse,Subcutaneous WAT,v2,1,150
GSE128889,SRR8906272,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR890/002/SRR8906272/SRR8906272.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR890/002/SRR8906272/SRR8906272.fastq.gz,Mouse,Subcutaneous WAT,v2,1,150
GSE128889,SRR8906273,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR890/003/SRR8906273/SRR8906273.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR890/003/SRR8906273/SRR8906273.fastq.gz,Mouse,Subcutaneous WAT,v2,1,150
GSE128889,SRR8906274,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR890/004/SRR8906274/SRR8906274.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR890/004/SRR8906274/SRR8906274.fastq.gz,Mouse,Subcutaneous WAT,v2,1,150
GSE130636,SRR9004325,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/005/SRR9004325/SRR9004325_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/005/SRR9004325/SRR9004325_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004326,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/006/SRR9004326/SRR9004326_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/006/SRR9004326/SRR9004326_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004327,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/007/SRR9004327/SRR9004327_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/007/SRR9004327/SRR9004327_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004328,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/008/SRR9004328/SRR9004328_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/008/SRR9004328/SRR9004328_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004329,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/009/SRR9004329/SRR9004329_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/009/SRR9004329/SRR9004329_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004330,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/000/SRR9004330/SRR9004330_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/000/SRR9004330/SRR9004330_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004331,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/001/SRR9004331/SRR9004331_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/001/SRR9004331/SRR9004331_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004332,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/002/SRR9004332/SRR9004332_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/002/SRR9004332/SRR9004332_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004333,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/003/SRR9004333/SRR9004333_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/003/SRR9004333/SRR9004333_2.fastq.gz,Human,Retina,v3,0,150
GSE130636,SRR9004334,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/004/SRR9004334/SRR9004334_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR900/004/SRR9004334/SRR9004334_2.fastq.gz,Human,Retina,v3,0,150
